Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
-2.273380233011445,-1.5731687729966581,-0.07117658171908624,0.8975256080773242,-0.2134021260860808
-2.2707823291998026,-1.8057356378477398,-0.4281728504462721,0.012119367825972015,-0.200914966566468
-2.3397582932723937,-1.4335237695084375,0.012747999544390733,0.9704724377520454,-0.2561571296379837
-2.357030233252002,-1.5715931144542232,-0.30729685237887155,0.1215331914588046,-0.31180436188019967
-2.250636470167183,-1.6370301473022026,-0.09807598492323179,0.8730062881799451,-0.1820192227068113
-2.239195847885607,-1.830757616605415,-0.4559100112933011,-0.007821656804047061,-0.18080270796717
-2.28626033582088,-1.5620643425072478,-0.057282394508761776,0.9079550879635895,-0.2220027155819833
-2.270782329199785,-1.805735637847721,-0.4281728504462584,0.012119367825986603,-0.20091496656646401
-2.294148760996792,-1.5229474249210009,-0.05467263759353751,0.9126305154371328,-0.31504638446454
-2.250106916233236,-1.8030021285839724,-0.46503963287522626,-0.013799192688785522,-0.23841267542710318
-2.361301551064999,-1.2982070071152576,0.05482043299180264,1.0131428720774842,-0.42743180554345983
-2.3613611754901456,-1.51028782268229,-0.30388525328366894,0.12863607811158967,-0.4175159487611305
-2.2813744921427705,-1.5721236148264495,-0.08183732628414518,0.9001072599018471,-0.3221333308289688
-2.254921454732405,-1.7779850652289866,-0.4535467966159284,0.009185782816278383,-0.3112508237127182
-2.294148760996795,-1.522947424921,-0.054672637593539936,0.9126305154371331,-0.31504638446454036
-2.233532850047845,-1.8158901262423275,-0.47890134976054827,-0.023646685217236875,-0.22796640920443986
-2.2791190367913825,-1.5150947850954506,-0.09082047556454867,0.8839462137784274,-0.36452849297162343
-2.2979097376642774,-1.7097565889331916,-0.4224621911471004,0.03137244156064468,-0.43532574796029844
-2.343055511811317,-1.268001266011518,0.019471438299267944,0.9868322782804481,-0.48975229546975446
-2.3511028940194976,-1.4346129310490936,-0.3128136758613295,0.12556947526252926,-0.53738194190581
-2.2794278129000607,-1.521327743723039,-0.07742432299506438,0.8927561666122611,-0.40038324970862277
-2.266323256350115,-1.734778567690875,-0.450199351994141,0.01143141693061066,-0.4152134893609886
-2.2653190136630696,-1.526643383409981,-0.10470657657891777,0.8736616681920523,-0.35546826829524425
-2.24493465166555,-1.7726836287042154,-0.47555390513875684,-0.021401051102899218,-0.3319290748527074
-2.292096602267413,-1.4741563759908085,-0.08923993256068906,0.8839673100933557,-0.46763723516415734
-2.2975388222798916,-1.6612288062632548,-0.4198160894759498,0.021796810471652696,-0.5127217433842143
-2.383232145378495,-1.085660288001628,0.07499592619215523,1.0506069684488588,-0.7279584932741935
-2.3636953458257546,-1.3411628866176168,-0.29568119994026937,0.14184394751228283,-0.6713541569793603
-2.282904262436834,-1.5137683230732053,-0.09053824038235433,0.8799484460827236,-0.482134299430176
-2.279300821826142,-1.6938401585862335,-0.4486188089902858,0.011452513245529261,-0.5183222315535277
-2.2782965791391,-1.4857049743053412,-0.10312603357506137,0.8736827645069738,-0.4585770104877782
-2.305376003950774,-1.6475731724730687,-0.42006263171379604,0.03412882261842678,-0.5501261902471906
-2.2968425846825427,-1.541770785967963,-0.06665389520326764,0.9153042884560059,-0.3622607721940403
-2.265575008773,-1.7726492997254895,-0.4498562017943338,0.001397835865347978,-0.27854011679219615
